DATE,revenue,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,search_S,competitor_sales_B,facebook_S,events,newsletter
2015-11-23,2754371.66666667,22358.346666666668,0.0,12728.488888888895,24301284.237530436,0.0,0.0,8125009,7607.1329148046,na,19401.6538461538
2015-11-30,2584276.66666667,28613.453333333335,0.0,0.0,5527033.1817753,9837.2384857852,4133.333333333333,7901549,1141.9524503541534,na,14791.0
2015-12-07,2547386.66666667,0.0,132278.4,453.8666666666666,16651591.223490434,12044.119652826334,3786.6666666666665,8300197,4256.375377826566,na,14544.0
2015-12-14,2875220.0,83450.30666666667,0.0,17680.0,10549765.676264668,12268.070319434633,4253.333333333333,8122883,2800.490676851047,na,2800.0
2015-12-21,2215953.33333333,0.0,277336.0,0.0,2934089.82625045,9467.2480229987,3613.3333333333335,7105985,689.5826051920267,na,15478.0
2015-12-28,2569921.66666667,33225.306666666664,0.0,31922.311111111067,16634027.035760432,12687.258636854434,3773.3333333333335,7097237,5337.005173401901,na,13817.0
2016-01-04,2171506.66666667,687.0533333333333,226753.6,0.0,13715898.605883202,12096.504594859034,3706.6666666666665,6974368,3623.0122328703333,na,28817.0
2016-01-11,2464131.66666667,2952.226666666667,0.0,23581.288888888932,18851563.533731967,11588.369664840866,4266.666666666667,7452174,4129.8161531585,na,19082.0
2016-01-18,2012520.0,0.0,0.0,0.0,11910187.8796785,9341.1605005463,3053.3333333333335,6703566,3623.0122328703333,na,19679.0
2016-01-25,1738911.66666667,0.0,0.0,11243.911111111107,10620420.184529733,7023.246415269867,3053.3333333333335,5535394,3002.6905850796934,na,15095.0
2016-02-01,1772306.66666667,16511.826666666664,42477.333333333336,0.0,0.0,9341.325766608734,2746.6666666666665,5480098,0.0,na,9795.0
2016-02-08,1809058.33333333,0.0,0.0,4763.55555555556,11416552.5179333,7107.7773245362005,2693.3333333333335,5872523,3564.3821977866332,na,10876.0
2016-02-15,1952740.0,66276.44,0.0,2448.4,5063253.0082151005,0.0,0.0,5822926,1448.5977402309134,na,19401.6538461538
2016-02-22,1507805.0,0.0,0.0,0.0,0.0,0.0,0.0,5027123,0.0,na,19401.6538461538
2016-02-29,1510391.66666667,41556.293333333335,0.0,0.0,10819486.908956267,5355.8900395874,2293.3333333333335,4561518,2415.5964039805863,na,583.0
2016-03-07,1588840.0,0.0,0.0,16506.088888888935,0.0,9625.7947240607,2826.6666666666665,4996211,0.0,na,8224.0
2016-03-14,1605990.0,19772.44,43994.13333333333,0.0,0.0,5688.411587546566,2373.3333333333335,4938630,0.0,na,5311.0
2016-03-21,1356010.0,0.0,0.0,0.0,0.0,7036.819117516267,2293.3333333333335,4520383,0.0,na,7428.0
2016-03-28,2103936.66666667,0.0,66088.53333333334,13579.422222222267,26747226.4873481,6090.3817960061,2533.3333333333335,4506918,6471.048405194633,na,10025.0
2016-04-04,1120835.0,0.0,0.0,0.0,1146392.7743075967,4636.5521979751,1906.6666666666667,3738504,20.837311403842502,na,9460.0
2016-04-11,1141140.0,0.0,66413.86666666667,0.0,0.0,4443.2572985456,1866.6666666666667,3768926,0.0,na,2964.0
2016-04-18,1166880.0,11126.733333333332,0.0,0.0,9416454.7015247,5696.9077760121,1786.6666666666667,3663385,2348.6878533048166,na,11663.0
2016-04-25,888806.666666667,0.0,0.0,0.0,0.0,4104.891405499066,1800.0,2960479,0.0,na,6317.0
2016-05-02,898873.333333333,0.0,0.0,12518.577777777775,0.0,3685.0144949198334,1266.6666666666667,2861890,0.0,na,5408.0
2016-05-09,889373.333333334,0.0,49957.86666666667,0.0,0.0,4422.7142375195335,1426.6666666666667,2941465,0.0,na,1900.0
2016-05-16,1915375.0,0.0,0.0,0.0,16918655.589452233,0.0,0.0,3039148,3673.9307739778337,na,19401.6538461538
2016-05-23,1006845.0,0.0,124442.66666666667,0.0,0.0,0.0,0.0,3292482,0.0,na,19401.6538461538
2016-05-30,869198.333333334,0.0,0.0,0.0,0.0,4565.787519204133,1346.6666666666667,2895248,0.0,na,9003.0
2016-06-06,727250.0,0.0,0.0,0.0,0.0,3110.3320529218768,1200.0,2427455,0.0,na,4305.0
2016-06-13,753730.0,0.0,0.0,0.0,0.0,4813.314369879667,1520.0,2516566,0.0,na,7217.0
2016-06-20,999196.666666667,20472.386666666665,123908.26666666666,0.0,11151653.5519218,4475.395122333433,1626.6666666666667,3012353,2553.15584799705,na,1983.0
2016-06-27,845843.333333333,0.0,0.0,0.0,0.0,3675.030504392133,1506.6666666666667,2826660,0.0,na,3437.0
2016-07-04,1126016.66666667,10121.013333333334,0.0,5168.400000000001,0.0,4333.658464252933,1746.6666666666667,3489775,0.0,na,4147.0
2016-07-11,1140978.33333333,0.0,0.0,0.0,0.0,5852.914064152467,1906.6666666666667,3807127,0.0,na,8479.0
2016-07-18,1242656.66666667,1900.4133333333332,319643.2,4780.666666666667,11243290.956237132,4215.536759269899,1426.6666666666667,3824504,3552.8149568223666,na,6348.0
2016-07-25,1293483.33333333,0.0,0.0,0.0,0.0,6289.944624334267,1946.6666666666667,4307032,0.0,na,13762.0
2016-08-01,1484843.33333333,28180.25333333333,164217.06666666668,0.0,17868520.4627035,6851.718367620667,2280.0,4396674,5102.031415774433,na,11841.0
